crs-ref,PIQ-COURSE-UID,MDCO-COURSE-UID,MDCO-COURSECAT-UIDxSITE,MDCO-CAMPUSUID
1258,IMED-896.AIR,MDCO-IMED896.177,MDCO-IMED896.177-vcom.ardr.campus,vcom.ardr.campus
1256,MEID 605,MDCO-MEID605.141,N/A,N/A
1245,IMED-889.D,MDCO-IMED889.135,MDCO-IMED889.135-vcom.adll.campus,vcom.adll.campus
1252,MEID 620 ENMED,MDCO-MEID620.358,N/A,N/A
1251,IMED-830.H,MDCO-IMED830.368,MDCO-IMED830.368-vcom.ahem.campus,vcom.ahem.campus
1255,MEID 606,MDCO-MEID606.145,N/A,N/A
1254,IMED-898.D,MDCO-IMED898.120,MDCO-IMED898.120-vcom.adll.campus,vcom.adll.campus
1250,IMED-896.AID,MDCO-IMED896.177,MDCO-IMED896.177-vcom.adll.campus,vcom.adll.campus
1248,IMED-827.H,MDCO-IMED827.384,MDCO-IMED827.384-vcom.ahem.campus,vcom.ahem.campus
1253,IMED-956.HMDA,MDCO-IMED956.339,MDCO-IMED956.339-vcom.ahem.campus,vcom.ahem.campus
1249,IMED-831.CCTVA,MDCO-IMED831.314,MDCO-IMED831.314-vcom.military.atva,vcom.military.atva
1242,MEID 608,MDCO-MEID608.325,N/A,N/A
1243,IMED-833.D,MDCO-IMED833.134,MDCO-IMED833.134-vcom.adll.campus,vcom.adll.campus
1241,IMED-865.H,MDCO-IMED865.297,MDCO-IMED865.297-vcom.ahem.campus,vcom.ahem.campus
1247,IMED-896.AITVA,MDCO-IMED896.177,MDCO-IMED896.177-vcom.military.atva,vcom.military.atva
1246,IMED-831.CCH,MDCO-IMED831.314,MDCO-IMED831.314-vcom.ahem.campus,vcom.ahem.campus
1244,IMED-828.D,MDCO-IMED828.255,MDCO-IMED828.255-vcom.adll.campus,vcom.adll.campus
1240,IMED-869.D,MDCO-IMED869.151,MDCO-IMED869.151-vcom.adll.campus,vcom.adll.campus
1239,IMED-831.CCD,MDCO-IMED831.314,MDCO-IMED831.314-vcom.adll.campus,vcom.adll.campus
1238,IMED-831.CCB,MDCO-IMED831.314,MDCO-IMED831.314-vcom.abry.campus,vcom.abry.campus
1237,IMED-808.DRES,MDCO-IMED808.217,MDCO-IMED808.217-vcom.adll.residencybound,vcom.adll.residencybound
1236,IMED-824.H,MDCO-IMED824.311,MDCO-IMED824.311-vcom.ahem.campus,vcom.ahem.campus
1235,IMED-808.H,MDCO-IMED808.217,MDCO-IMED808.217-vcom.ahem.campus,vcom.ahem.campus
1234,IMED-804.W,MDCO-IMED804.283,MDCO-IMED804.283-vcom.ahwh.campus,vcom.ahwh.campus
1233,IMED-805.R,MDCO-IMED805.118,MDCO-IMED805.118-vcom.ardr.campus,vcom.ardr.campus
1232,IMED-806.D,MDCO-IMED806.131,MDCO-IMED806.131-vcom.adll.campus,vcom.adll.campus
1231,IMED-807.W,MDCO-IMED807.142,MDCO-IMED807.142-vcom.ahwh.campus,vcom.ahwh.campus
1229,IMED-800.H,MDCO-IMED800.175,MDCO-IMED800.175-vcom.ahem.campus,vcom.ahem.campus
1230,IMED-803.W,MDCO-IMED803.267,MDCO-IMED803.267-vcom.ahwh.campus,vcom.ahwh.campus
1228,IMED-804.R,MDCO-IMED804.283,MDCO-IMED804.283-vcom.ardr.campus,vcom.ardr.campus
1227,IMED-805.B,MDCO-IMED805.118,MDCO-IMED805.118-vcom.abry.campus,vcom.abry.campus
1226,IMED-804.B,MDCO-IMED804.283,MDCO-IMED804.283-vcom.abry.campus,vcom.abry.campus
1225,EMED-804.C,MDCO-EMED804.281,N/A,N/A
1224,EMED-809.R,MDCO-EMED809.221,MDCO-EMED809.221-vcom.ardr.campus,vcom.ardr.campus
1223,IMED-804.HKS,MDCO-IMED804.283,MDCO-IMED804.283-vcom.ahks.campus,vcom.ahks.campus
1220,IMED-806.R,MDCO-IMED806.131,MDCO-IMED806.131-vcom.ardr.bsw,vcom.ardr.bsw
1221,EMED-800.B,MDCO-EMED800.284,MDCO-EMED800.284-vcom.abry.campus,vcom.abry.campus
1222,IMED-806.H,MDCO-IMED806.131,MDCO-IMED806.131-vcom.ahem.campus,vcom.ahem.campus
1219,ANES-801.D,MDCO-ANES801.268,MDCO-ANES801.268-vcom.adll.campus,vcom.adll.campus
1217,IMED-806.B,MDCO-IMED806.131,N/A,N/A
1218,EMED-804.DAMC,MDCO-EMED804.281,N/A,N/A
1196,SURG-999,MDCO-SURG999.334,MDCO-SURG999.334-vcom.ahwh.campus,vcom.ahwh.campus
1216,IMED-807.R,MDCO-IMED807.142,MDCO-IMED807.142-vcom.ardr.campus,vcom.ardr.campus
1215,SURG-878.R,MDCO-SURG878.271,MDCO-SURG878.271-vcom.ardr.campus,vcom.ardr.campus
1214,IMED-800.B,MDCO-IMED800.175,MDCO-IMED800.175-vcom.abry.campus,vcom.abry.campus
1213,EMED-807.D,MDCO-EMED807.239,MDCO-EMED807.239-vcom.adll.campus,vcom.adll.campus
1212,IMED-800.D,MDCO-IMED800.175,MDCO-IMED800.175-vcom.adll.campus,vcom.adll.campus
1211,EMED-811.H,MDCO-EMED811.127,N/A,N/A
1210,EMED-800.W,MDCO-EMED800.284,MDCO-EMED800.284-vcom.ahwh.campus,vcom.ahwh.campus
1209,EMED-800.R,MDCO-EMED800.284,MDCO-EMED800.284-vcom.ardr.campus,vcom.ardr.campus
1208,EMED-989.D,MDCO-EMED989.228,MDCO-EMED989.228-vcom.adll.campus,vcom.adll.campus
1204,ANES-807.H,MDCO-ANES807.341,MDCO-ANES807.341-vcom.ahem.campus,vcom.ahem.campus
1192,ANES-807.B,MDCO-ANES807.341,MDCO-ANES807.341-vcom.abry.campus,vcom.abry.campus
1203,ANES-801.RBSW,MDCO-ANES801.268,MDCO-ANES801.268-vcom.ardr.bsw,vcom.ardr.campus
1202,ANES-999,MDCO-ANES999.191,MDCO-ANES999.191-vcom.inab.campus,vcom.inab.campus
1207,SURG-865.D,MDCO-SURG865.183,N/A,N/A
1205,ANES-810.R,MDCO-ANES810.345,MDCO-ANES810.345-vcom.ardr.campus,vcom.ardr.campus
1198,MHUM 603,MDCO-MHUM603.174,N/A,N/A
1201,SURG-985,MDCO-SURG985.193,MDCO-SURG985.193-vcom.inab.campus,vcom.inab.campus
1206,ANES-801.W,MDCO-ANES801.268,MDCO-ANES801.268-vcom.ahwh.campus,vcom.ahwh.campus
1199,SURG-848.R,MDCO-SURG848.204,MDCO-SURG848.204-vcom.ardr.campus,vcom.ardr.campus
1200,SURG-848.B,MDCO-SURG848.204,MDCO-SURG848.204-vcom.abry.campus,vcom.abry.campus
1195,SURG-877.W,MDCO-SURG877.331,MDCO-SURG877.331-vcom.ahwh.campus,vcom.ahwh.campus
1194,SURG-878.W,MDCO-SURG878.271,N/A,N/A
1193,SURG-821.H,MDCO-SURG821.251,N/A,N/A
1197,SURG-854.AID,MDCO-SURG854.208,MDCO-SURG854.208-vcom.adll.campus,vcom.adll.campus
1191,SURG-803.H,MDCO-SURG803.154,MDCO-SURG803.154-vcom.ahem.campus,vcom.ahem.campus
1189,OBGY-999,MDCO-OBGY999.202,MDCO-OBGY999.202-vcom.ahwh.campus,vcom.ahwh.campus
1190,SURG-816.AIH,MDCO-SURG816.378,MDCO-SURG816.378-vcom.ahem.campus,vcom.ahem.campus
1188,SURG-815.D,MDCO-SURG815.383,MDCO-SURG815.383-vcom.adll.campus,vcom.adll.campus
1187,SURG-816.AID,MDCO-SURG816.378,MDCO-SURG816.378-vcom.adll.campus,vcom.adll.campus
1186,SURG-818.CCB,MDCO-SURG818.238,N/A,N/A
1185,SURG-803.WMH,MDCO-SURG803.154,N/A,N/A
1184,SURG-802.R,MDCO-SURG802.206,MDCO-SURG802.206-vcom.ardr.campus,vcom.ardr.campus
1183,SURG-803.D,MDCO-SURG803.154,N/A,N/A
1182,SURG-864.D,MDCO-SURG864.179,MDCO-SURG864.179-vcom.adll.campus,vcom.adll.campus
1180,OBGY-809.AIH,MDCO-OBGY809.321,MDCO-OBGY809.321-vcom.ahem.campus,vcom.ahem.campus
1181,SURG-802.D,MDCO-SURG802.206,MDCO-SURG802.206-vcom.adll.campus,vcom.adll.campus
1179,OBGY-805.R,MDCO-OBGY805.231,MDCO-OBGY805.231-vcom.ardr.campus,vcom.ardr.campus
1178,OBGY-802.HMH,MDCO-OBGY802.107,MDCO-OBGY802.107-vcom.ahem.elective,vcom.ahem.elective
1177,SURG-801.D,MDCO-SURG801.218,MDCO-SURG801.218-vcom.adll.campus,vcom.adll.campus
1175,MRAD-985,MDCO-MRAD985.190,MDCO-MRAD985.190-vcom.inab.campus,vcom.inab.campus
1176,SURG-806.D,MDCO-SURG806.203,MDCO-SURG806.203-vcom.adll.campus,vcom.adll.campus
1173,SURG-818.CCD,MDCO-SURG818.238,MDCO-SURG818.238-vcom.adll.campus,vcom.adll.campus
1174,SURG-802.H,MDCO-SURG802.206,MDCO-SURG802.206-vcom.ahem.campus,vcom.ahem.campus
1172,OBGY-802.WMH,MDCO-OBGY802.107,N/A,N/A
1170,OBGY-803.D,MDCO-OBGY803.291,MDCO-OBGY803.291-vcom.adll.campus,vcom.adll.campus
1169,MRAD-821.B,MDCO-MRAD821.106,MDCO-MRAD821.106-vcom.abry.campus,vcom.abry.campus
1171,OBGY-917.AIH,MDCO-OBGY917.292,MDCO-OBGY917.292-vcom.ahem.campus,vcom.ahem.campus
1168,SURG-818.CCH,MDCO-SURG818.238,MDCO-SURG818.238-vcom.ahem.campus,vcom.ahem.campus
1167,SURG-800.R,MDCO-SURG800.237,MDCO-SURG800.237-vcom.ardr.campus,vcom.ardr.campus
1162,SURG-806.B,MDCO-SURG806.203,MDCO-SURG806.203-vcom.abry.campus,vcom.abry.campus
1165,SURG-803.B,MDCO-SURG803.154,MDCO-SURG803.154-vcom.abry.campus,vcom.abry.campus
1166,SURG-854.AIH,MDCO-SURG854.208,MDCO-SURG854.208-vcom.ahem.campus,vcom.ahem.campus
1163,SURG-800.B,MDCO-SURG800.237,MDCO-SURG800.237-vcom.abry.campus,vcom.abry.campus
1164,SURG-815.R,MDCO-SURG815.383,MDCO-SURG815.383-vcom.ardr.campus,vcom.ardr.campus
1160,OBGY-800.D,MDCO-OBGY800.327,MDCO-OBGY800.327-vcom.adll.campus,vcom.adll.campus
1161,OBGY-800.W,MDCO-OBGY800.327,MDCO-OBGY800.327-vcom.ahwh.campus,vcom.ahwh.campus
1157,MPSY-999,MDCO-MPSY999.336,MDCO-MPSY999.336-vcom.inab.campus,vcom.inab.campus
1158,MRAD-816.B,MDCO-MRAD816.317,MDCO-MRAD816.317-vcom.abry.campus,vcom.abry.campus
1155,MPED-999,MDCO-MPED999.196,MDCO-MPED999.196-vcom.inab.campus,vcom.inab.campus
1153,MPSY-814.R,MDCO-MPSY814.343,MDCO-MPSY814.343-vcom.ardr.campus,vcom.ardr.campus
1154,MPED-829.AIR,MDCO-MPED829.348,MDCO-MPED829.348-vcom.ardr.campus,vcom.ardr.campus
1156,MRAD-801.D,MDCO-MRAD801.276,MDCO-MRAD801.276-vcom.adll.campus,vcom.adll.campus
1151,MRAD-801.R,MDCO-MRAD801.276,MDCO-MRAD801.276-vcom.ardr.campus,vcom.ardr.campus
1159,OBGY-802.R,MDCO-OBGY802.107,MDCO-OBGY802.107-vcom.ardr.campus,vcom.ardr.campus
1152,MPSY-806.B,MDCO-MPSY806.342,MDCO-MPSY806.342-vcom.abry.campus,vcom.abry.campus
1150,MPSY-800.R,MDCO-MPSY800.224,MDCO-MPSY800.224-vcom.ardr.campus,vcom.ardr.campus
1148,MPSY-800.W,MDCO-MPSY800.224,MDCO-MPSY800.224-vcom.ahwh.campus,vcom.ahwh.campus
1149,MPSY-985,MDCO-MPSY985.192,MDCO-MPSY985.192-vcom.inab.campus,vcom.inab.campus
1147,MPSY-800.B,MDCO-MPSY800.224,MDCO-MPSY800.224-vcom.abry.campus,vcom.abry.campus
1146,NEXT-800.B,MDCO-NEXT800.185,MDCO-NEXT800.185-vcom.abry.campus,vcom.abry.campus
1145,MRAD-816.H,MDCO-MRAD816.317,MDCO-MRAD816.317-vcom.ahem.campus,vcom.ahem.campus
1144,MPSY-800.H,MDCO-MPSY800.224,MDCO-MPSY800.224-vcom.ahem.campus,vcom.ahem.campus
1143,MPED-829.AIC,MDCO-MPED829.348,MDCO-MPED829.348-vcom.adri.campus,vcom.adri.campus
1142,MPAT-805.W,MDCO-MPAT805.295,MDCO-MPAT805.295-vcom.ahwh.campus,vcom.ahwh.campus
1141,MHUM-824.T,MDCO-MHUM824.402,N/A,N/A
1139,MFCM-808.R,MDCO-MFCM808.395,MDCO-MFCM808.395-vcom.ardr.campus,vcom.ardr.campus
1140,MPED-814.R,MDCO-MPED814.346,MDCO-MPED814.346-vcom.ardr.campus,vcom.ardr.campus
