crs-ref,PIQ-COURSE-UID,MDCO-COURSE-UID,MDCO-COURSECAT-UIDxSITE,MDCO-CAMPUSUID
1071,IMED-830.D,MDCO-IMED830.368,MDCO-IMED830.368-vcom.adll.campus,vcom.adll.campus
1074,IMED-808.RSDMC,MDCO-IMED808.217,MDCO-IMED808.217-vcom.ardr.sdmc,vcom.ardr.sdmc
1072,IMED-852.R,MDCO-IMED852.306,MDCO-IMED852.306-vcom.ardr.campus,vcom.ardr.campus
1073,IMED-898.B,MDCO-IMED898.120,MDCO-IMED898.120-vcom.abry.campus,vcom.abry.campus
1069,MEID 617 ENMED,MDCO-MEID617.385,N/A,N/A
1070,MEID 711 ENMED,MDCO-MEID711.147,N/A,N/A
1066,MEID 618 ENMED,MDCO-MEID618.316,N/A,N/A
1065,MEID 618,MDCO-MEID618.316,N/A,N/A
1067,IMED-985,MDCO-IMED985.188,MDCO-IMED985.188-vcom.inab.campus,vcom.inab.campus
1068,IMED-819.D,MDCO-IMED819.126,MDCO-IMED819.126-vcom.adll.campus,vcom.adll.campus
1064,MEID 608 ENMED,MDCO-MEID608.325,N/A,N/A
1062,IMED-843.H,MDCO-IMED843.262,N/A,N/A
1063,IMED-803.B,MDCO-IMED803.267,MDCO-IMED803.267-vcom.abry.campus,vcom.abry.campus
1060,IMED-825.B,MDCO-IMED825.344,MDCO-IMED825.344-vcom.abry.campus,vcom.abry.campus
1061,IMED-827.D,MDCO-IMED827.384,MDCO-IMED827.384-vcom.adll.campus,vcom.adll.campus
1058,IMED-914.H,MDCO-IMED914.108,N/A,N/A
1052,IMED-804.H,MDCO-IMED804.283,MDCO-IMED804.283-vcom.ahem.campus,vcom.ahem.campus
1054,IMED-896.AIRBSW,MDCO-IMED896.177,MDCO-IMED896.177-vcom.ardr.campus,vcom.ardr.campus
1053,IMED-825.D,MDCO-IMED825.344,MDCO-IMED825.344-vcom.adll.campus,vcom.adll.campus
1050,IMED-807.H,MDCO-IMED807.142,MDCO-IMED807.142-vcom.ahem.campus,vcom.ahem.campus
1055,IMED-831.CCW,MDCO-IMED831.314,MDCO-IMED831.314-vcom.ahwh.campus,vcom.ahwh.campus
1059,EMED-985,MDCO-EMED985.187,MDCO-EMED985.187-vcom.inab.campus,vcom.inab.campus
1056,IMED-827.W,MDCO-IMED827.384,N/A,N/A
1057,IMED-833.H,MDCO-IMED833.134,MDCO-IMED833.134-vcom.ahem.campus,vcom.ahem.campus
1051,IMED-800.R,MDCO-IMED800.175,MDCO-IMED800.175-vcom.ardr.campus,vcom.ardr.campus
1048,IMED-803.H,MDCO-IMED803.267,MDCO-IMED803.267-vcom.ahem.campus,vcom.ahem.campus
